symbol,rec_date,event_type,event_date,price,note
SHAREINDIA,2025-10-20,TARGET_HIT,2025-10-20,204.13999938964844,
SHREDIGCEM,2025-10-20,TARGET_HIT,2025-10-20,89.97000122070312,
SHRIRAMFIN,2025-10-20,TARGET_HIT,2025-10-20,696.2000122070312,
SIGIND,2025-10-20,TARGET_HIT,2025-10-20,59.79999923706055,
SIKKO,2025-10-20,TARGET_HIT,2025-10-20,99.81999969482422,
SIL,2025-10-20,TARGET_HIT,2025-10-20,19.07999992370605,
SILINV,2025-10-20,TARGET_HIT,2025-10-20,682.25,
SILLYMONKS,2025-10-20,TARGET_HIT,2025-10-20,18.11000061035156,
SIRCA,2025-10-20,TARGET_HIT,2025-10-20,490.4500122070313,
SJS,2025-10-20,TARGET_HIT,2025-10-20,1522.5,
SKMEGGPROD,2025-10-20,TARGET_HIT,2025-10-20,347.29998779296875,
SKYGOLD,2025-10-20,TARGET_HIT,2025-10-20,356.20001220703125,
SOMATEX,2025-10-20,TARGET_HIT,2025-10-20,93.5,
SONACOMS,2025-10-20,TARGET_HIT,2025-10-20,460.1499938964844,
SOUTHBANK,2025-10-20,TARGET_HIT,2025-10-20,38.2400016784668,
SOUTHWEST,2025-10-20,TARGET_HIT,2025-10-20,131.4499969482422,
SPCENET,2025-10-20,TARGET_HIT,2025-10-20,9.68000030517578,
SPECTRUM,2025-10-20,TARGET_HIT,2025-10-20,1324.5999755859375,
SRF,2025-10-20,TARGET_HIT,2025-10-20,3194.699951171875,
STALLION,2025-10-20,TARGET_HIT,2025-10-20,374.0,
STARHEALTH,2025-10-20,TARGET_HIT,2025-10-20,493.2000122070313,
STOVEKRAFT,2025-10-20,TARGET_HIT,2025-10-20,701.4500122070312,
SUBEXLTD,2025-10-20,TARGET_HIT,2025-10-20,13.380000114440918,
SUMMITSEC,2025-10-20,TARGET_HIT,2025-10-20,2307.89990234375,
SUNPHARMA,2025-10-20,TARGET_HIT,2025-10-20,1690.199951171875,
SUNTECK,2025-10-20,TARGET_HIT,2025-10-20,434.7000122070313,
SUPRIYA,2025-10-20,TARGET_HIT,2025-10-20,753.3499755859375,
SUTLEJTEX,2025-10-20,TARGET_HIT,2025-10-20,34.2400016784668,
SVLL,2025-10-20,TARGET_HIT,2025-10-20,807.0,
SWIGGY,2025-10-20,TARGET_HIT,2025-10-20,420.7999877929688,
TAKE,2025-10-20,TARGET_HIT,2025-10-20,21.56999969482422,
TARAPUR,2025-10-20,TARGET_HIT,2025-10-20,36.45000076293945,
TATACOMM,2025-10-20,TARGET_HIT,2025-10-20,1916.300048828125,
TATACONSUM,2025-10-20,TARGET_HIT,2025-10-20,1171.5,
TATAPOWER,2025-10-20,TARGET_HIT,2025-10-20,399.8500061035156,
TATVA,2025-10-20,TARGET_HIT,2025-10-20,1365.0,
TBZ,2025-10-20,TARGET_HIT,2025-10-20,184.8000030517578,
TCPLPACK,2025-10-20,TARGET_HIT,2025-10-20,3515.60009765625,
TDPOWERSYS,2025-10-20,TARGET_HIT,2025-10-20,645.5999755859375,
TEXMOPIPES,2025-10-20,TARGET_HIT,2025-10-20,55.52999877929688,
THYROCARE,2025-10-20,TARGET_HIT,2025-10-20,1247.300048828125,
TI,2025-10-20,TARGET_HIT,2025-10-20,475.7999877929688,
TITAN,2025-10-20,TARGET_HIT,2025-10-20,3714.10009765625,
TMB,2025-10-20,TARGET_HIT,2025-10-20,445.5,
TOKYOPLAST,2025-10-20,TARGET_HIT,2025-10-20,126.0500030517578,
TORNTPOWER,2025-10-20,TARGET_HIT,2025-10-20,1309.4000244140625,
TRACXN,2025-10-20,TARGET_HIT,2025-10-20,53.34000015258789,
TREJHARA,2025-10-20,TARGET_HIT,2025-10-20,213.1600036621093,
TVSHLTD,2025-10-20,TARGET_HIT,2025-10-20,14830.0,
TVSMOTOR,2025-10-20,TARGET_HIT,2025-10-20,3642.0,
TVSSRICHAK,2025-10-20,TARGET_HIT,2025-10-20,4084.199951171875,
